OBJECTID,ID,PREC_PLANI,PREC_ALTI,NATURE,Z_MOYEN
154,TERRSPOR0000000063706730,1.5,1,Terrain de tennis,158.5
155,TERRSPOR0000000063706773,1.5,1,Terrain de tennis,95.1
156,TERRSPOR0000000063706712,1.5,1,Terrain de tennis,132.36
157,TERRSPOR0000000063706883,1.5,1,Terrain de tennis,73.06
158,TERRSPOR0000000063706885,1.5,1,Terrain de tennis,73.66
159,TERRSPOR0000000063706884,1.5,1,Terrain de tennis,98.64
160,TERRSPOR0000000063706854,1.5,1,Terrain de tennis,110.9
161,TERRSPOR0000000063706876,1.5,1,Terrain de tennis,80.3
162,TERRSPOR0000000063706816,1.5,1,Terrain de tennis,121.07
163,TERRSPOR0000000063706834,1.5,1,Terrain de tennis,99.3
164,TERRSPOR0000000063706833,1.5,1,Terrain de tennis,91.9
165,TERRSPOR0000000063706871,1.5,1,Terrain de tennis,117.1
166,TERRSPOR0000000063706886,1.5,1,Terrain de tennis,73.32
167,TERRSPOR0000000063706901,1.5,1,Terrain de tennis,116.16
168,TERRSPOR0000000063706910,1.5,1,Terrain de tennis,61.3
169,TERRSPOR0000000063706869,1.5,1,Terrain de tennis,118.9
170,TERRSPOR0000000063706828,1.5,1,Terrain de tennis,72.9
171,TERRSPOR0000000063706789,1.5,1,Terrain de tennis,83.32
172,TERRSPOR0000000063706788,1.5,1,Indifférencié,91
173,TERRSPOR0000000063706822,1.5,1,Terrain de tennis,88.6
174,TERRSPOR0000000063706835,1.5,1,Terrain de tennis,104.91
175,TERRSPOR0000000063706832,1.5,1,Terrain de tennis,96.8
176,TERRSPOR0000000063706830,1.5,1,Bassin de natation,81.8
177,TERRSPOR0000000219797028,1.5,1,Terrain de tennis,104.29
178,TERRSPOR0000000295397079,1.5,1,Terrain de tennis,119.16
179,TERRSPOR0000000329959724,1.5,1,Terrain de tennis,129.52
180,TERRSPOR0000000063706795,1.5,1,Indifférencié,88.1
181,TERRSPOR0000000329959732,1.5,1,Indifférencié,149.87
182,TERRSPOR0000000329959733,1.5,1,Terrain de tennis,150.06
183,TERRSPOR0000000063706938,1.5,1,Terrain de tennis,77.3
184,TERRSPOR0000000063706850,1.5,1,Terrain de tennis,74
185,TERRSPOR0000000063706916,1.5,1,Terrain de tennis,64.3
186,TERRSPOR0000000063706733,1.5,1,Terrain de tennis,108.22
187,TERRSPOR0000000063706697,1.5,1,Indifférencié,142.7
188,TERRSPOR0000000063706902,1.5,1,Indifférencié,108.68
189,TERRSPOR0000000330869257,1.5,1,Piste de sport,99.95
190,TERRSPOR0000000063706870,1.5,1,Indifférencié,119.16
191,TERRSPOR0000000331229139,1.5,2.5,Piste de sport,87.92
192,TERRSPOR0000000329959747,1.5,9999,Piste de sport,88.3
193,TERRSPOR0000000330800898,5,9999,Indifférencié,9999
194,TERRSPOR0000000330800899,5,9999,Indifférencié,9999
195,TERRSPOR0000000330801308,5,9999,Indifférencié,9999
196,TERRSPOR0000000330801309,5,9999,Indifférencié,9999
197,TERRSPOR0000000330801610,5,9999,Indifférencié,9999
198,TERRSPOR0000000330801614,5,9999,Indifférencié,9999
199,TERRSPOR0000000330802116,5,9999,Indifférencié,9999
200,TERRSPOR0000000330802122,5,9999,Indifférencié,9999
201,TERRSPOR0000000330802355,5,9999,Indifférencié,9999
202,TERRSPOR0000000330802660,5,9999,Indifférencié,9999
203,TERRSPOR0000000330802661,5,9999,Indifférencié,9999
204,TERRSPOR0000000330802665,5,9999,Indifférencié,9999
205,TERRSPOR0000000330802999,5,9999,Indifférencié,9999
206,TERRSPOR0000000330803002,5,9999,Indifférencié,9999
207,TERRSPOR0000000330803003,5,9999,Indifférencié,9999
208,TERRSPOR0000000330803024,5,9999,Indifférencié,9999
209,TERRSPOR0000000330803108,5,9999,Indifférencié,9999
210,TERRSPOR0000000330803110,5,9999,Indifférencié,9999
211,TERRSPOR0000000330803131,5,9999,Indifférencié,9999
212,TERRSPOR0000000330869106,5,9999,Indifférencié,9999
213,TERRSPOR0000000330869111,5,9999,Indifférencié,9999
214,TERRSPOR0000000330869112,5,9999,Indifférencié,9999
215,TERRSPOR0000000330869113,5,9999,Indifférencié,9999
216,TERRSPOR0000000330869114,5,9999,Indifférencié,9999
217,TERRSPOR0000000330869115,5,9999,Indifférencié,9999
218,TERRSPOR0000000330869119,5,9999,Indifférencié,9999
219,TERRSPOR0000000330869123,5,9999,Indifférencié,9999
220,TERRSPOR0000000323402246,5,9999,Indifférencié,9999
221,TERRSPOR0000000330869173,5,9999,Indifférencié,9999
222,TERRSPOR0000000330869174,5,9999,Indifférencié,9999
223,TERRSPOR0000000330869185,5,9999,Indifférencié,9999
224,TERRSPOR0000000330869196,5,9999,Indifférencié,9999
225,TERRSPOR0000000330869198,5,9999,Indifférencié,9999
226,TERRSPOR0000000330869203,5,9999,Indifférencié,9999
227,TERRSPOR0000000330869221,5,9999,Indifférencié,9999
228,TERRSPOR0000000330869258,5,9999,Indifférencié,9999
229,TERRSPOR0000000330869259,5,9999,Indifférencié,9999
230,TERRSPOR0000000330869307,5,9999,Indifférencié,9999
231,TERRSPOR0000000330869308,5,9999,Indifférencié,9999
232,TERRSPOR0000000330869312,5,9999,Indifférencié,9999
233,TERRSPOR0000000330869313,5,9999,Indifférencié,9999
234,TERRSPOR0000000330869317,5,9999,Indifférencié,9999
235,TERRSPOR0000000330869318,5,9999,Indifférencié,9999
236,TERRSPOR0000000330869323,5,9999,Indifférencié,9999
237,TERRSPOR0000000330869399,5,9999,Indifférencié,9999
238,TERRSPOR0000000331229140,5,9999,Indifférencié,9999
239,TERRSPOR0000000331229158,5,9999,Indifférencié,9999
240,TERRSPOR0000000331229172,5,9999,Indifférencié,9999
241,TERRSPOR0000000331229173,5,9999,Indifférencié,9999
242,TERRSPOR0000000331229184,5,9999,Indifférencié,9999
243,TERRSPOR0000000331229190,5,9999,Indifférencié,9999
244,TERRSPOR0000000331229194,5,9999,Indifférencié,9999
245,TERRSPOR0000000331229196,5,9999,Indifférencié,9999
246,TERRSPOR0000000331229197,5,9999,Indifférencié,9999
247,TERRSPOR0000000331229198,5,9999,Indifférencié,9999
248,TERRSPOR0000000331229199,5,9999,Indifférencié,9999
249,TERRSPOR0000000331229200,5,9999,Indifférencié,9999
250,TERRSPOR0000000331229201,5,9999,Indifférencié,9999
251,TERRSPOR0000000331229202,5,9999,Indifférencié,9999
252,TERRSPOR0000000331229210,5,9999,Indifférencié,9999
253,TERRSPOR0000000331229213,5,9999,Indifférencié,9999
254,TERRSPOR0000000331229214,5,9999,Indifférencié,9999
255,TERRSPOR0000000244273220,5,9999,Indifférencié,9999
256,TERRSPOR0000000331289966,5,9999,Indifférencié,9999
257,TERRSPOR0000000331290002,5,9999,Indifférencié,9999
258,TERRSPOR0000000331290004,5,9999,Indifférencié,9999
259,TERRSPOR0000000331290014,5,9999,Indifférencié,9999
260,TERRSPOR0000000322417130,5,9999,Indifférencié,9999
261,TERRSPOR0000000331290015,5,9999,Indifférencié,9999
262,TERRSPOR0000000331290023,5,9999,Indifférencié,9999
263,TERRSPOR0000000331290029,5,9999,Indifférencié,9999
264,TERRSPOR0000000331290028,5,9999,Indifférencié,9999
265,TERRSPOR0000000331290030,5,9999,Indifférencié,9999
266,TERRSPOR0000000331290033,5,9999,Indifférencié,9999
267,TERRSPOR0000000331290034,5,9999,Indifférencié,9999
268,TERRSPOR0000000331290036,5,9999,Indifférencié,9999
269,TERRSPOR0000000331290117,5,9999,Indifférencié,9999
270,TERRSPOR0000000331290118,5,9999,Indifférencié,9999
271,TERRSPOR0000000329959740,5,9999,Indifférencié,104.2
272,TERRSPOR0000000330803109,5,9999,Piste de sport,146.11
273,TERRSPOR0000000230310569,5,9999,Indifférencié,9999
274,TERRSPOR0000000244226846,5,9999,Indifférencié,9999
275,TERRSPOR0000000256663016,5,9999,Indifférencié,9999
276,TERRSPOR0000000258472009,5,9999,Indifférencié,9999
277,TERRSPOR0000000211452474,5,9999,Terrain de tennis,9999
278,TERRSPOR0000000323088449,5,9999,Indifférencié,9999
279,TERRSPOR0000000329897806,5,9999,Indifférencié,9999
280,TERRSPOR0000000329897809,5,9999,Indifférencié,9999
281,TERRSPOR0000000329897807,5,9999,Indifférencié,9999
282,TERRSPOR0000000329897819,5,9999,Indifférencié,9999
283,TERRSPOR0000000329897822,5,9999,Indifférencié,9999
284,TERRSPOR0000000329959664,5,9999,Indifférencié,9999
285,TERRSPOR0000000329959665,5,9999,Indifférencié,9999
286,TERRSPOR0000000329959679,5,9999,Indifférencié,9999
287,TERRSPOR0000000329959729,5,9999,Indifférencié,9999
288,TERRSPOR0000000329959746,5,9999,Indifférencié,9999
289,TERRSPOR0000000329959749,5,9999,Indifférencié,9999
290,TERRSPOR0000000329959744,5,9999,Indifférencié,9999
291,TERRSPOR0000000330071394,5,9999,Indifférencié,9999
292,TERRSPOR0000000330071395,5,9999,Indifférencié,9999
293,TERRSPOR0000000330071405,5,9999,Indifférencié,9999
294,TERRSPOR0000000330071423,5,9999,Indifférencié,9999
295,TERRSPOR0000000330742029,5,9999,Terrain de tennis,9999
296,TERRSPOR0000000330742038,5,9999,Indifférencié,9999
297,TERRSPOR0000000330742035,5,9999,Indifférencié,9999
298,TERRSPOR0000000330742048,5,9999,Indifférencié,9999
299,TERRSPOR0000000330742059,5,9999,Indifférencié,9999
300,TERRSPOR0000000330742060,5,9999,Indifférencié,9999
301,TERRSPOR0000000330742074,5,9999,Indifférencié,9999
302,TERRSPOR0000000330742085,5,9999,Indifférencié,9999
303,TERRSPOR0000000330742090,5,9999,Indifférencié,9999
304,TERRSPOR0000000330742098,5,9999,Indifférencié,9999
305,TERRSPOR0000000330742108,5,9999,Indifférencié,9999
306,TERRSPOR0000000330742064,5,9999,Indifférencié,9999
307,TERRSPOR0000000330742050,5,9999,Indifférencié,9999
308,TERRSPOR0000000330802118,5,9999,Indifférencié,9999
309,TERRSPOR0000000329959673,5,9999,Indifférencié,9999
310,TERRSPOR0000000353864579,5,9999,Indifférencié,9999
311,TERRSPOR0000000353870135,5,9999,Indifférencié,9999
312,TERRSPOR0000000354033177,5,9999,Indifférencié,9999
313,TERRSPOR0000000329897808,5,9999,Indifférencié,9999
314,TERRSPOR0000000354098778,5,9999,Indifférencié,9999
315,TERRSPOR0000000354098779,5,9999,Indifférencié,9999
316,TERRSPOR0000000354169908,5,9999,Indifférencié,9999
317,TERRSPOR0000000354208732,5,9999,Indifférencié,9999
318,TERRSPOR0000000329959748,5,9999,Indifférencié,9999
319,TERRSPOR0000000322417080,5,9999,Indifférencié,9999
