DepCode;DepLib;ComInsee;ComLib;InsNumeroInstall;InsNom;EquipementId;EquNbEquIdentique;ActCode;Sport / Activité;Niveau pratiqué;NatureLibelle;gps;InsNoVoie;InsLibelleVoie;InsCodePostal;Utilisation;Utilisateurs;typeerp;EquipementTypeCode;EquipementTypeLib;InsArrondissement;Famille type d'équipement
93;Seine-Saint-Denis;93066;Saint-Denis;930660006;Gymnase la Courtille;162140;1;7901;Tennis;Entrainement;Découvert;48.94063, 2.38163;26;Rue Jacques Vaché;93200;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations;Établissement de plein air;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93066;Saint-Denis;930660012;Stade du Landy;162166;2;7901;Tennis;Compétition régionale;Découvert;48.91482, 2.34269;218;Rue du Landy;93200;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93070;Saint-Ouen;930700009;Ensemble Sportif Pablo Neruda;162255;2;7901;Tennis;Entrainement;Découvert;48.91669, 2.33791;17;Rue Salvador Allende;93400;Performance sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;;501;Court de tennis;;Court de tennis
93;Seine-Saint-Denis;93072;Stains;930720005;Gymnase Leo Lagrange;162361;2;7901;Tennis;Compétition régionale;Extérieur couvert;48.96202, 2.38503;;Avenue Jules Guesde;93240;Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94015;Bry-sur-Marne;940150002;Tennis Club de Bry;281561;1;7901;Tennis;Entrainement;Découvrable;48.848051, 2.522911;66;Avenue de Rigny;94360;Récréation sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94017;Champigny-sur-Marne;940170001;Parc Interdepartemental des Sports et de Loisirs le Tremblay;157020;2;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.827721, 2.484485;11;Boulevard des Allies;94500;Récréation sportive;Scolaires / Universités,Individuel(s) / Famille(s);Établissement sportif couvert;1105;Mur de tennis;;Mur et fronton
94;Val-de-Marne;94017;Champigny-sur-Marne;940170023;Complexe Sportif Nelson Mandela;157073;1;7901;Tennis;Entrainement;Découvert;48.816825, 2.515565;134;Rue de Bernau;94500;Récréation sportive,Formation sportive;Clubs sportifs / Comités / Ligues / Fédérations;;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94017;Champigny-sur-Marne;940170023;Complexe Sportif Nelson Mandela;157077;2;7901;Tennis;Compétition régionale;Découvert;48.816606, 2.516602;134;Rue de Bernau;94500;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94018;Charenton-le-Pont;940180021;Gymnase Tony Parker;330890;1;7901;Tennis;Entrainement;Intérieur;48.81711, 2.41285;;Ile Martinet;94220;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
94;Val-de-Marne;94034;Fresnes;940340004;Stade de la Paix;158070;3;7901;Tennis;Entrainement;Découvert;48.76221, 2.33104;64;Avenue de la Paix;94260;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94034;Fresnes;940340012;Stade Gaston Roussel;158103;3;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.75182, 2.31584;12;Avenue du Parc des Sports;94260;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94038;Haÿ-les-Roses;940380009;Tennis Chalais;283520;1;7901;Tennis;Entrainement;Découvert;48.77025, 2.32972;21;Rue du Hameau;94240;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94038;Haÿ-les-Roses;940380021;Tennis Club de la Roseraie;283598;2;7901;Tennis;Loisir - Entretien - Remise en forme;Découvert;48.77695, 2.32594;86;Avenue Larroumes;94240;Récréation sportive;Clubs sportifs / Comités / Ligues / Fédérations,Individuel(s) / Famille(s);;1105;Mur de tennis;;Mur et fronton
94;Val-de-Marne;94041;Ivry-sur-Seine;940410035;Complexe Sportif Venise Gosnat;153983;3;7901;Tennis;Entrainement;Découvert;48.80447, 2.38847;30;Rue Amedee Huon;94200;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94043;Kremlin-Bicêtre;940430007;Gymnase Jacques Ducasse;306208;1;7901;Tennis;Entrainement;Découvert;48.80672, 2.35846;5;Boulevard Chastenet de Gery;94270;Récréation sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement de plein air;501;Court de tennis;;Court de tennis
94;Val-de-Marne;94044;Limeil-Brévannes;940440007;Gymnase Lucien Leroy;154041;1;7901;Tennis;Entrainement;Intérieur;48.753183, 2.487483;3 BIS;Rue Pierre et Angele le Hen;94450;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations,Autre(s) association(s) et groupes divers,Individuel(s) / Famille(s);Établissement sportif couvert;1901;Salle multisports;;Salle multisports
94;Val-de-Marne;94046;Maisons-Alfort;940460022;Centre Georges Pompidou;154117;1;7901;Tennis;;Intérieur;48.800462, 2.440504;12;Rue Georges Gaume;94700;Récréation sportive,Performance sportive,Formation sportive;Scolaires / Universités,Clubs sportifs / Comités / Ligues / Fédérations;Établissement sportif couvert;1901;Salle multisports;;Salle multisports
