COLL_NOM;COLL_SIRET;EQUIP_UID;EQUIP_THEME;EQUIP_CODE;EQUIP_TYPE;EQUIP_NOM;ADR_NUMERO;ADR_NOMVOIE;ADR_CODEPOSTAL;ADR_COMMUNE;ADR_CLE_INTEROP;ERP_ID;ERP_TYPE;ERP_CATEGORIE;EQUIP_LAT;EQUIP_LONG;EQUIP_OUVERTURE;EQUIP_TEL;EQUIP_EMAIL;EQUIP_WEB
Val-de-Marne;21940071000014;94071-05010304-577;Equipement sportif et de loisirs;05010304-577;Court de tennis;terrains de tennis - stade paul meyer;39;rue de paris;94370;Sucy-en-Brie;;;;;48.775;2.504;;;;https://www.saint-maur.com/
Val-de-Marne;21940071000014;94071-05010304-578;Equipement sportif et de loisirs;05010304-578;Court de tennis;terrains de tennis couverts - stade paul meyer;39;rue de paris;94370;Sucy-en-Brie;;;;;48.774;2.505;;;;
Val-de-Marne;21940071000014;94071-05010102-582;Equipement sportif et de loisirs;05010102-582;Gymnase;gymnase du plateau;52;route de la queue en brie;94370;Sucy-en-Brie;;;;;48.762;2.536;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940071000014;94071-05010306-584;Equipement sportif et de loisirs;05010306-584;Equipement équestre;poney club de sucy;16;allée des blancs;94370;Sucy-en-Brie;;;;;48.755;2.554;;;;
Val-de-Marne;21940071000014;94071-05010200-585;Equipement sportif et de loisirs;05010200-585;Complexe sportif en espace exterieur;parc des sports de sucy;nan;route de la queue en brie;94370;Sucy-en-Brie;;;;;48.76;2.541;;;;
Val-de-Marne;21940071000014;94071-05030000-586;Equipement sportif et de loisirs;05030000-586;Autre équipement sportif et de loisirs;robot club 94 modelisme;nan;rue du moulin bateau;94370;Sucy-en-Brie;;;;;48.781;2.511;;;;
Val-de-Marne;21940071000014;94071-05030000-587;Equipement sportif et de loisirs;05030000-587;Autre équipement sportif et de loisirs;salle anim'sport;nan;place de la fraternite;94370;Sucy-en-Brie;;;;;48.775;2.526;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940071000014;94071-05010102-588;Equipement sportif et de loisirs;05010102-588;Gymnase;gymnase montaleau;nan;rue de montaleau;94370;Sucy-en-Brie;;;;;48.772;2.515;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940071000014;94071-05010102-589;Equipement sportif et de loisirs;05010102-589;Gymnase;gymnase du piple;152;bis rue de boissy;94370;Sucy-en-Brie;;;;;48.76;2.526;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940071000014;94071-05010102-590;Equipement sportif et de loisirs;05010102-590;Gymnase;gymnase du fort;33;avenue du fort;94370;Sucy-en-Brie;;;;;48.77;2.533;;;;
Val-de-Marne;21940055300018;94055-05010202-592;Equipement sportif et de loisirs;05010202-592;Parcours de golf;golf d'ormesson;nan;chemin du belvedere;94490;Ormesson-sur-Marne;;;;;48.787;2.554;;;;https://www.golformesson.com/fr/
Val-de-Marne;21940055300018;94055-05010102-593;Equipement sportif et de loisirs;05010102-593;Gymnase;gymnase d'amboile;32;rue de l'ancien moulin;94490;Ormesson-sur-Marne;;;;;48.779;2.533;;;;
Val-de-Marne;21940019900184;94019-05010207-598;Equipement sportif et de loisirs;05010207-598;"Parcours sportif ; Parcours de santé";parc de la plaine des bordes;nan;rue des bordes;94430;Chennevières-sur-marne;;;;;48.797;2.561;;;;https://www.valdemarne.fr/
Val-de-Marne;21940019900184;94019-05010102-599;Equipement sportif et de loisirs;05010102-599;Gymnase;gymnase - stade armand fey;24;route du plessis trevise;94430;Chennevières-sur-marne;;;;;48.806;2.556;;;;https://www.chennevieres.com/
Val-de-Marne;21940019900184;94019-05010304-600;Equipement sportif et de loisirs;05010304-600;Court de tennis;terrains de tennis - stade aristide briand;60;bis rue aristide briand;94430;Chennevières-sur-marne;;;;;48.798;2.536;;;;https://www.chennevieres.com/
Val-de-Marne;21940019900184;94019-05010311-601;Equipement sportif et de loisirs;05010311-601;Pas de tir;centre departemental et regional de tir a l'arc;nan;avenue champlain;94430;Chennevières-sur-marne;;;;;48.798;2.558;;;;https://www.ctsarc94.com/
Val-de-Marne;21940044700013;94044-05010310-605;Equipement sportif et de loisirs;05010310-605;Terrain de grands jeux (stade);stade paul vaillant couturier;12;rue georges clemenceau;94450;Limeil-Brévannes;;;;;48.743;2.476;;;;
Val-de-Marne;21940002500017;94002-05010102-612;Equipement sportif et de loisirs;05010102-612;Gymnase;gymnase robert blairon;92;rue veron;94140;Alfortville;;;;;48.811;2.414;;;;
Val-de-Marne;21940028000018;94028-05010102-653;Equipement sportif et de loisirs;05010102-653;Gymnase;gymnase de la levriere;nan;rue ferdinand de lesseps;94000;Créteil;;;;;48.789;2.447;;;;
Val-de-Marne;21940004100014;94004-05010304-738;Equipement sportif et de loisirs;05010304-738;Court de tennis;terrain de football 1;nan;place des erables;94470;Boissy-Saint-Léger;;;;;48.755;2.499;;;;https://ville-boissy.fr/
Val-de-Marne;21940071000014;94071-05010101-753;Equipement sportif et de loisirs;05010101-753;Salle de combat;salle de judo beauvilliers;38;avenue du fort;94370;Sucy-en-Brie;;;;;48.769;2.535;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940004100014;94004-05010103-760;Equipement sportif et de loisirs;05010103-760;Salle ou terrain spécialisé;terrain de jorky ball;5;rue pompadour;94470;Boissy-Saint-Léger;;;;;48.762;2.499;;;;
Val-de-Marne;21940004100014;94004-05010102-761;Equipement sportif et de loisirs;05010102-761;Gymnase;terrain de basket ball - maurice preault;16;avenue charles de gaulle;94470;Boissy-Saint-Léger;;;;;48.759;2.497;;;;https://ville-boissy.fr/
Val-de-Marne;21940004100014;94004-05010304-762;Equipement sportif et de loisirs;05010304-762;Court de tennis;terrain de handball  maurice preault;16;avenue charles de gaulle;94470;Boissy-Saint-Léger;;;;;48.759;2.498;;;;https://ville-boissy.fr/
Val-de-Marne;21940004100014;94004-05010304-763;Equipement sportif et de loisirs;05010304-763;Court de tennis;terrain de football 2;nan;place des erables;94470;Boissy-Saint-Léger;;;;;48.753;2.499;;;;
Val-de-Marne;21940028000018;94028-05010310-764;Equipement sportif et de loisirs;05010310-764;Terrain de grands jeux (stade);stade brise pain;nan;allée centrale;94000;Créteil;;;;;48.797;2.47;;;;
Val-de-Marne;21940060300011;94060-05010304-765;Equipement sportif et de loisirs;05010304-765;Court de tennis;terrain de football annexe route de villiers;nan;route de villiers;94510;La Queue-en-brie;;;;;48.793;2.583;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21950491700010;94059-05010304-766;Equipement sportif et de loisirs;05010304-766;Court de tennis;terrain de football gazon -centre sportif louison bobet;6;avenue albert camus;94420;Le Plessis -Trévise;;;;;48.804;2.577;;;;https://www.leplessistrevise.fr/
Val-de-Marne;21940019900184;94019-05010310-767;Equipement sportif et de loisirs;05010310-767;Terrain de grands jeux (stade);terrain de football - stade aristide briand;63;bis rue aristide briand;94430;Chennevières-sur-marne;;;;;48.797;2.535;;;;https://www.chennevieres.com/
Val-de-Marne;21940071000014;94071-05010310-770;Equipement sportif et de loisirs;05010310-770;Terrain de grands jeux (stade);terrains de football - stade paul meyer;39;rue de paris;94370;Sucy-en-Brie;;;;;48.777;2.504;;;;https://www.saint-maur.com/
Val-de-Marne;21950491700010;94059-05010304-773;Equipement sportif et de loisirs;05010304-773;Court de tennis;terrain de basket - espace sportif de plein air;nan;avenue de plein air;94420;Le Plessis -Trévise;;;;;48.802;2.576;;;;
Val-de-Marne;21940019900184;94019-05010310-774;Equipement sportif et de loisirs;05010310-774;Terrain de grands jeux (stade);terrain de football - stade armand fey;24;route du plessis trevise;94430;Chennevières-sur-marne;;;;;48.806;2.557;;;;https://www.chennevieres.com/
Val-de-Marne;21940019900184;94019-05010304-775;Equipement sportif et de loisirs;05010304-775;Court de tennis;playground villa franche comte;nan;allée de la caravelle;94430;Chennevières-sur-marne;;;;;48.802;2.55;;;;
Val-de-Marne;21940019900184;94019-05010304-776;Equipement sportif et de loisirs;05010304-776;Court de tennis;terrains de football - complexe sportif;99;rue des bordes;94430;Chennevières-sur-marne;;;;;48.801;2.56;;;;
Val-de-Marne;21940060300011;94060-05010102-777;Equipement sportif et de loisirs;05010102-777;Gymnase;terrain de basket ball allée des clematites;nan;allée des clematites;94510;La Queue-en-brie;;;;;48.795;2.565;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940060300011;94060-05010100-778;Equipement sportif et de loisirs;05010100-778;Complexe sportif en espace interieur;la halle des violettes;nan;rue louis aragon;94510;La Queue-en-brie;;;;;48.792;2.57;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940060300011;94060-05010102-779;Equipement sportif et de loisirs;05010102-779;Gymnase;gymnase pierre de coubertin;nan;rue pierre de coubertin;94510;La Queue-en-brie;;;;;48.793;2.577;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940060300011;94060-05010304-780;Equipement sportif et de loisirs;05010304-780;Court de tennis;terrain de jeux cite raymond buissiere;nan;avenue du marechal mortier;94510;La Queue-en-brie;;;;;48.79;2.577;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940060300011;94060-05010304-781;Equipement sportif et de loisirs;05010304-781;Court de tennis;agorespace;nan;avenue du marechal mortier;94510;La Queue-en-brie;;;;;48.789;2.575;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940060300011;94060-05010304-782;Equipement sportif et de loisirs;05010304-782;Court de tennis;terrain de football - stade leo lagrange;nan;route de villiers;94510;La Queue-en-brie;;;;;48.793;2.58;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940060300011;94060-05010102-783;Equipement sportif et de loisirs;05010102-783;Gymnase;plateau d'evolution - stade leo lagrange;nan;route de villiers;94510;La Queue-en-brie;;;;;48.793;2.581;;;;https://www.laqueueenbrie.fr/
Val-de-Marne;21940071000014;94071-05010304-785;Equipement sportif et de loisirs;05010304-785;Court de tennis;terrain de football - parc des sports de sucy;nan;route de la queue en brie;94370;Sucy-en-Brie;;;;;48.759;2.534;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940071000014;94071-05010304-786;Equipement sportif et de loisirs;05010304-786;Court de tennis;terrains de football - parc des sports de sucy;nan;route de la queue en brie;94370;Sucy-en-Brie;;;;;48.759;2.539;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940071000014;94071-05010100-787;Equipement sportif et de loisirs;05010100-787;Complexe sportif en espace interieur;espace multisports de la fosse rouge;nan;rue du grand-val;94370;Sucy-en-Brie;;;;;48.777;2.529;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940071000014;94071-05010304-788;Equipement sportif et de loisirs;05010304-788;Court de tennis;terrains de basket des noyers;nan;rue du moulin bateau;94370;Sucy-en-Brie;;;;;48.778;2.509;;;;https://www.ville-sucy.fr/
Val-de-Marne;21940055300018;94055-05010304-789;Equipement sportif et de loisirs;05010304-789;Court de tennis;terrains - collège saint exupery;nan;rue du clos;94490;Ormesson-sur-Marne;;;;;48.792;2.553;;;;
Val-de-Marne;21940019900184;94019-05010304-790;Equipement sportif et de loisirs;05010304-790;Court de tennis;terrains maurice rousseau;52;avenue claire;94430;Chennevières-sur-marne;;;;;48.801;2.547;;;;https://www.chennevieres.com/
Val-de-Marne;21940055300018;94055-05010304-791;Equipement sportif et de loisirs;05010304-791;Court de tennis;complexe sportif du belvedere;28;rue du docteur andre libert;94490;Ormesson-sur-Marne;;;;;48.79;2.545;;;;
Val-de-Marne;21940028000018;94028-05010103-817;Equipement sportif et de loisirs;05010103-817;Salle ou terrain spécialisé;maison du handball;1;rue daniel costantini;94000;Créteil;;;;;48.767;2.464;;;;
Val-de-Marne;21940011600014;94011-05010200-828;Equipement sportif et de loisirs;05010200-828;Complexe sportif en espace exterieur;base canoe kayak;nan;chemin du morbras;94380;Bonneuil-sur-Marne;;;;;48.787;2.475;;;;
Val-de-Marne;21940028000018;94028-05010304-829;Equipement sportif et de loisirs;05010304-829;Court de tennis;tennis mont-mesly;100;rue juliette savar;94000;Créteil;;;;;48.777;2.466;;;;
Val-de-Marne;21940028000018;94028-05010301-830;Equipement sportif et de loisirs;05010301-830;Skatepark et vélo freestyle;piste de roller;nan;avenue de la breche;94000;Créteil;;;;;48.785;2.455;;;;
Val-de-Marne;21940028000018;94028-05010100-831;Equipement sportif et de loisirs;05010100-831;Complexe sportif en espace interieur;plateau multisports allezard;38;rue juliette savar;94000;Créteil;;;;;48.785;2.462;;;;
Val-de-Marne;21940028000018;94028-05010100-832;Equipement sportif et de loisirs;05010100-832;Complexe sportif en espace interieur;plateau multisports camus;143;rue de brie;94000;Créteil;;;;;48.783;2.472;;;;
Val-de-Marne;21940028000018;94028-05010100-833;Equipement sportif et de loisirs;05010100-833;Complexe sportif en espace interieur;plateau multisports casalis;33;rue du docteur paul casalis;94000;Créteil;;;;;48.78;2.472;;;;
Val-de-Marne;21940028000018;94028-05010100-834;Equipement sportif et de loisirs;05010100-834;Complexe sportif en espace interieur;plateau multisports club de creteil;2;rue charpy;94000;Créteil;;;;;48.787;2.451;;;;
Val-de-Marne;21940028000018;94028-05010100-835;Equipement sportif et de loisirs;05010100-835;Complexe sportif en espace interieur;plateau multisports guiblets;86;boulevard john fitzgerald kennedy;94000;Créteil;;;;;48.78;2.462;;;;
Val-de-Marne;21940028000018;94028-05010100-836;Equipement sportif et de loisirs;05010100-836;Complexe sportif en espace interieur;plateau multisports guyard;12;rue thomas edison;94000;Créteil;;;;;48.796;2.445;;;;
Val-de-Marne;21940028000018;94028-05010100-837;Equipement sportif et de loisirs;05010100-837;Complexe sportif en espace interieur;plateau multisports issaurat;nan;rue pasteur vallery radot;94000;Créteil;;;;;48.781;2.444;;;;
Val-de-Marne;21940028000018;94028-05010100-838;Equipement sportif et de loisirs;05010100-838;Complexe sportif en espace interieur;plateau multisports levriere;nan;rue ferdinand de lesseps;94000;Créteil;;;;;48.789;2.446;;;;
Val-de-Marne;21940028000018;94028-05010100-839;Equipement sportif et de loisirs;05010100-839;Complexe sportif en espace interieur;plateau multisports montaigut;2;rue moliere;94000;Créteil;;;;;48.79;2.441;;;;
Val-de-Marne;21940028000018;94028-05010100-840;Equipement sportif et de loisirs;05010100-840;Complexe sportif en espace interieur;plateau multisports paillou;14;rue des sarrazins;94000;Créteil;;;;;48.769;2.472;;;;
Val-de-Marne;21940028000018;94028-05010100-841;Equipement sportif et de loisirs;05010100-841;Complexe sportif en espace interieur;plateau multisports schweitzer;nan;rue georges sand;94000;Créteil;;;;;48.772;2.464;;;;
Val-de-Marne;21940011600014;94011-05010300-842;Equipement sportif et de loisirs;05010300-842;Complexe sportif en espace interieur et/ou extérieur;terrain de boules base nautique;nan;chemin du morbras;94380;Bonneuil-sur-Marne;;;;;48.786;2.474;;;;
Val-de-Marne;21940028000018;94028-05010300-843;Equipement sportif et de loisirs;05010300-843;Complexe sportif en espace interieur et/ou extérieur;terrain de boules la fauvette;74;rue cheret;94000;Créteil;;;;;48.803;2.461;;;;
Val-de-Marne;21940028000018;94028-05010300-844;Equipement sportif et de loisirs;05010300-844;Complexe sportif en espace interieur et/ou extérieur;terrain de boules montaigut;2;rue moliere;94000;Créteil;;;;;48.79;2.442;;;;
Val-de-Marne;21940028000018;94028-05010300-845;Equipement sportif et de loisirs;05010300-845;Complexe sportif en espace interieur et/ou extérieur;terrain de boules mont-mesly;23;rue de la plumerette;94000;Créteil;;;;;48.773;2.471;;;;
Val-de-Marne;21940028000018;94028-05010300-846;Equipement sportif et de loisirs;05010300-846;Complexe sportif en espace interieur et/ou extérieur;terrain de boules la ferriere;118; impasse cherret;94000;Créteil;;;;;48.806;2.46;;;;
