"Year","Major","Champion","Seed_Champion","Ctry_Champion","Runner-up","Seed_Runner-up","Ctry_Runner-up","Score in the Final"
1990,3,"Martina Navratilova",2,"USA","Zina Garrison",5,"USA","6–4, 6–1"
1990,4,"Gabriela Sabatini",5,"ARG","Steffi Graf",1,"FRG","6–2, 7–6(7–4)"
1991,1,"Monica Seles",2," YUG","Jana Novotná",10,"TCH","5–7, 6–3, 6–1"
1991,2,"Monica Seles",1,"YUG","Arantxa Sánchez Vicario",5,"ESP","6–3, 6–4"
1991,3,"Steffi Graf",1,"GER","Gabriela Sabatini",2,"ARG","6–4, 3–6, 8–6"
1991,4,"Monica Seles",2,"YUG","Martina Navratilova",6,"USA","7–6(7–1), 6–1"
1992,1,"Monica Seles",1,"YUG","Mary Joe Fernández",7,"USA","6–2, 6–3"
1992,2,"Monica Seles",1,"YUG","Steffi Graf",2,"GER","6–2, 3–6, 10–8"
1992,3,"Steffi Graf",2,"GER","Monica Seles",1,"YUG","6–2, 6–1"
1992,4,"Monica Seles",1,"YUG","Arantxa Sánchez Vicario",5,"ESP","6–3, 6–3"
1993,1,"Monica Seles",1,"YUG","Steffi Graf",2,"GER","4–6, 6–3, 6–2"
1993,2,"Steffi Graf",1,"GER","Mary Joe Fernández",5,"USA","4–6, 6–2, 6–4"
1993,3,"Steffi Graf",1,"GER","Jana Novotná",8,"CZE","7–6(8–6), 1–6, 6–4"
1993,4,"Steffi Graf",1,"GER","Helena Suková",12,"CZE","6–3, 6–3"
1994,1,"Steffi Graf",1,"GER","Arantxa Sánchez Vicario",2,"ESP","6–0, 6–2"
1994,2,"Arantxa Sánchez Vicario",2,"ESP","Mary Pierce",12,"FRA","6–4, 6–4"
1994,3,"Conchita Martínez",3,"ESP","Martina Navratilova",4,"USA","6–4, 3–6, 6–3"
1994,4,"Arantxa Sánchez Vicario",2,"ESP","Steffi Graf",1,"GER","1–6, 7–6(7–3), 6–4"
1995,1,"Mary Pierce",4,"FRA","Arantxa Sánchez Vicario",1,"ESP","6–3, 6–2"
1995,2,"Steffi Graf",2,"GER","Arantxa Sánchez Vicario",1,"ESP","7–5, 4–6, 6–0"
1995,3,"Steffi Graf",1,"GER","Arantxa Sánchez Vicario",2,"ESP","4–6, 6–1, 7–5"
1995,4,"Steffi Graf",1,"GER","Monica Seles",2,"USA","7–6(8-6), 0–6, 6–3"
1996,1,"Monica Seles",1,"USA","Anke Huber",8,"GER","6–4, 6–1"
1996,2,"Steffi Graf",1,"GER","Arantxa Sánchez Vicario",4,"ESP","6–3, 6–7(4–7), 10–8"
1996,3,"Steffi Graf",1,"GER","Arantxa Sánchez Vicario",4,"ESP","6–3, 7–5"
1996,4,"Steffi Graf",1,"GER","Monica Seles",2,"USA","7–5, 6–4"
1997,1,"Martina Hingis",4,"SUI","Mary Pierce",0,"FRA","6–2, 6–2"
1997,2,"Iva Majoli",9,"CRO","Martina Hingis",1,"SUI","6–4, 6–2"
1997,3,"Martina Hingis",1,"SUI","Jana Novotná",3,"CZE","2–6, 6–3, 6–3"
1997,4,"Martina Hingis",1,"SUI","Venus Williams",0,"USA","6–0, 6–4"
1998,1,"Martina Hingis",1,"SUI","Conchita Martínez",8,"ESP","6–3, 6–3"
